==============================================
  Session: Session 01
  Started: 2026-04-03 13:27:14
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI   
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START    
00:02:00   BASELINE END       –          –        0.0      0.0      0.0      0.00     0.000        0.000 
00:02:00   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:01   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:02   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:03   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:04   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:05   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:06   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:07   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:08   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:09   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:10   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:11   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:12   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:13   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:14   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:15   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:16   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:17   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:18   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:19   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:20   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:21   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:22   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:23   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:24   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:25   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:26   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:27   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:28   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:29   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:30   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:31   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:32   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
00:02:33   DATA               Low        0.000    0.0      0.0      0.0      0.00     0.000        0.000 
